code,name,description
3E,Libra por libra de producto,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
3G,Libra por pieza de producto,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
3H,Kilogramo por kilogramo de producto,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
3I,Kilogramo por pieza de producto,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4,Spray pequeño,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
40,Mililitro por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
41,Mililitro por minuto,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
43,Bolsa súper a granel,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
44,Bolsa a granel de quinientos kg,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
45,Bolsa a granel de trescientos kg,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
46,Bolsa a granel de cincuenta libras,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
47,Bolsa de cincuenta libras,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
48,Carga de automóviles a granel,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4B,Gorra,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4C,Centistokes,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4E,Paquete de veinte,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4G,Microlitro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4H,Micrómetro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4K,Miliamperio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4L,Megabyte,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4M,Miligramo por hora,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4N,Megabecquerel,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4P,Newton por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4Q,Onza pulgada,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4R,Pie onza,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4T,Picofarad,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4U,Libra por hora,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4W,Tonelada (US) por hora,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
4X,Kilolitro por hora,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5,Levantar,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
53,Kilogramos teóricos,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
54,Tonelada teórica,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
56,Sitas,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
57,Malla,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
58,Kilogramo neto,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
59,Parte por millón,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5B,Lote,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5C,Galón (US) por mil,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5E,MMSCF / día,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5F,Libras por mil,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5G,Bomba,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5H,Escenario,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5I,Pie cúbico estándar,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5J,Potencia hidráulica de caballos,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5K,Contar por minuto,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5P,Nivel sísmico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
5Q,Nfor sismica,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
60,Porcentaje de peso,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
61,Parte por billón (US),Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
62,Porcentaje por 1000 horas,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
63,Tasa de fracaso en el tiempo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
64,"Libra por pulgada cuadrada, calibre",Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
66,Oersted,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
69,Prueba de escala específica,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
71,Voltio amperio por libra,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
72,Vatio por libra,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
73,Amperio tum por centímetro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
74,Milipascal,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
76,Gauss,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
77,Mili pulgadas,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
78,Kilogauss,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
8,Lote calor,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
80,Libras por pulgada cuadrada absoluta,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
81,Enrique,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
84,Kilopound por pulgada cuadrada,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
85,Fuerza libra pie,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
87,Libra por pie cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
89,Equilibrio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
90,Saybold segundo universal,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
91,Alimenta,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
92,Calorías por centímetro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
93,Calorías por gramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
94,Unidad,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
95,Veinte mil galones (US) de carros,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
96,Diez mil galones (US) de carros,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
97,Tambor de diez kg,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
98,Tambor de quince kg,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A1,15 calorías C,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A10,Amperio metro cuadrado por joule segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A11,Ã ¥ ngström,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A12,Unidad astronómica,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A13,Attojoule,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A14,Granero,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A15,Granero por electrón voltio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A16,"Granero por voltio de electrones esteradiano,",Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A17,Granero por sterdian,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A18,Becquerel por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A19,Becquerel por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A2,Amperio por centímetro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A20,Unidad térmica británica por segundo pie cuadrado grado Rankin,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A21,Unidad térmica británica por libra grado Rankin,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A22,Unidad térmica británica por segundo pie grado Rankin,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A23,Unidad térmica británica por hora pie cuadrado grado Rankin,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A24,Candela por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A25,Cheval vapeur,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A26,Medidor de culombio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A27,Medidor de culombio al cuadrado por voltio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A28,Coulomb por centímetro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A29,Coulomb por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A3,Amperio por milímetro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A30,Coulomb por milímetro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A31,Coulomb por kilogramo segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A32,Coulomb por mol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A33,Coulomb por centímetro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A34,Coulomb por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A35,Coulomb por milímetro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A36,Centímetro cúbico por mol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A37,Nformaci cúbico por mol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A38,Metro cúbico por coulomb,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A39,Metro cúbico por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A4,Amperio por centímetro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A40,Metro cúbico por mol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A41,Amperio por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A42,Curie por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A43,Tonelaje de peso muerto,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A44,Decalitro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A45,Decámetro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A47,Decitex,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A48,Grado Rankin,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A49,Negador,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A5,Amperio metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A50,Dyn segundo por centímetro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A51,Dina segundo por centímetro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A52,Dina segundo por centímetro al quinto,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A53,Electronvolt,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A54,Electronvoltio por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A55,Metro electronvolt cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A56,Electronvoltio de metro cuadrado por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A57,Ergio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A58,Erg por centímetro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A6,Amperio por metro cuadrado kelvin al cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A60,Erg por centímetro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A61,Erg por gramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A62,Erg por gramo de segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A63,Erg por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A64,Erg por segundo centímetro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A65,Erg por centímetro cuadrado segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A66,Erg centímetro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A67,Ergímetro cuadrado por gramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A68,Exajulio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A69,Faradio por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A7,Amperio por milímetro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A70,Femtojoule,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A71,Femtometro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A73,Pie por segundo al cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A74,Pie-fuerza de la libra por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A75,Tonelada de carga,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A76,Galón,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A77,Unidad de desplazamiento CGS gaussiana,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A78,Unidad gaussiana CGS de corriente eléctrica.,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A79,Unidad Gaussian CGS de carga eléctrica.,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A8,Amperio segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A80,Unidad Gaussian CGS de intensidad de campo eléctrico.,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A81,Unidad Gaussian CGS de polarización eléctrica.,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A82,Unidad Gaussian CGS de potencial eléctrico.,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A83,Unidad Gaussiana CGS de magnetización.,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A84,Gigacoulomb por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A85,Gigaelectronvolt,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A86,Gigahercios,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A87,Gigaohm,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A88,Medidor de gigaohm,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A89,Gigapascal,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A9,Tarifa,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A90,Gigavatios,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A91,Gon,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A93,Gramo por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A94,Gramo por mol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A95,Gris,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A96,Gris por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A97,Hectopascal,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
A98,Henry por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AA,Bola,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AB,Paquete a granel,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
ACR,Acre,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AD,Byte,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AE,Amperio por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AH,Minuto adicional,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AI,Minuto promedio por llamada,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AJ,Policía,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AK,Braza,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AL,Nfor de acceso,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AM,Ampolla,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AMH,Hora amperio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AMP,Amperio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
ANA,Año,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AP,Solo libra de aluminio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
APZ,Onza troy o onza de boticarios,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AQ,Unidad de factor antihemofílico (AHF),Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AR,Supositorio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
ASM,Fuerza alcohólica en masa,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
ASU,Fuerza alcohólica por volumen,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
ATM,Ambiente estándar,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
ATT,Ambiente técnico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AV,Cápsula,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AW,Vial lleno de polvo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
AZ,Unidad térmica británica por libra,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B0,Btu por pie cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B1,Barril (US) por día,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B11,Julios por kilogramo kelvin,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B12,Julios por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B13,Julios por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
