code,name,parent_code,level,category,is_posting,is_active
151240,Flota y equipo aéreo,1512,4,Activo,true,true,
151245,Flota y equipo férreo,1512,4,Activo,true,true,
151250,Plantas y redes,1512,4,Activo,true,true,
151299,Ajustes por inflación,1512,4,Activo,true,true,
1516,Construcciones y edificaciones,15,3,Activo,false,true,
151605,Edificios,1516,4,Activo,true,true,
151610,Oficinas,1516,4,Activo,true,true,
151615,Almacenes,1516,4,Activo,true,true,
151620,Fábricas y plantas industriales,1516,4,Activo,true,true,
151625,Salas de exhibición y ventas,1516,4,Activo,true,true,
151630,Cafetería y casinos,1516,4,Activo,true,true,
151635,Silos,1516,4,Activo,true,true,
151640,Invernaderos,1516,4,Activo,true,true,
151645,Casetas y campamentos,1516,4,Activo,true,true,
151650,Instalaciones agropecuarias,1516,4,Activo,true,true,
151655,Viviendas para empleados y obreros,1516,4,Activo,true,true,
151660,Terminal de buses y taxis,1516,4,Activo,true,true,
151663,Terminal marítimo,1516,4,Activo,true,true,
151665,Terminal férreo,1516,4,Activo,true,true,
151670,"Parqueaderos, garajes y depósitos",1516,4,Activo,true,true,
151675,Hangares,1516,4,Activo,true,true,
151680,Bodegas,1516,4,Activo,true,true,
151695,Otros,1516,4,Activo,true,true,
151699,Ajustes por inflación,1516,4,Activo,true,true,
1520,Maquinaria y equipo,15,3,Activo,false,true,
152099,Ajustes por inflación,1520,4,Activo,true,true,
1524,Equipo de oficina,15,3,Activo,false,true,
152405,Muebles y enseres,1524,4,Activo,true,true,
152410,Equipos,1524,4,Activo,true,true,
152495,Otros,1524,4,Activo,true,true,
152499,Ajustes por inflación,1524,4,Activo,true,true,
1528,Equipo de computación y comunicación,15,3,Activo,false,true,
152805,Equipos de procesamiento de datos,1528,4,Activo,true,true,
152810,Equipos de telecomunicaciones,1528,4,Activo,true,true,
152815,Equipos de radio,1528,4,Activo,true,true,
152820,Satélites y antenas,1528,4,Activo,true,true,
152825,Líneas telefónicas,1528,4,Activo,true,true,
152895,Otros,1528,4,Activo,true,true,
152899,Ajustes por inflación,1528,4,Activo,true,true,
1532,Equipo médico-científico,15,3,Activo,false,true,
153205,Médico,1532,4,Activo,true,true,
153210,Odontológico,1532,4,Activo,true,true,
153215,Laboratorio,1532,4,Activo,true,true,
153220,Instrumental,1532,4,Activo,true,true,
153295,Otros,1532,4,Activo,true,true,
153299,Ajustes por inflación,1532,4,Activo,true,true,
1536,Equipo de hoteles y restaurantes,15,3,Activo,false,true,
153605,De habitaciones,1536,4,Activo,true,true,
153610,De comestibles y bebidas,1536,4,Activo,true,true,
153695,Otros,1536,4,Activo,true,true,
153699,Ajustes por inflación,1536,4,Activo,true,true,
1540,Flota y equipo de transporte,15,3,Activo,false,true,
154005,"Autos, camionetas y camperos",1540,4,Activo,true,true,
154008,"Camiones, volquetas y furgones",1540,4,Activo,true,true,
154010,Tractomulas y remolques,1540,4,Activo,true,true,
154015,Buses y busetas,1540,4,Activo,true,true,
154017,Recolectores y contenedores,1540,4,Activo,true,true,
154020,Montacargas,1540,4,Activo,true,true,
154025,Palas y grúas,1540,4,Activo,true,true,
154030,Motocicletas,1540,4,Activo,true,true,
154035,Bicicletas,1540,4,Activo,true,true,
154040,Estibas y carretas,1540,4,Activo,true,true,
154045,Bandas transportadoras,1540,4,Activo,true,true,
154095,Otros,1540,4,Activo,true,true,
154099,Ajustes por inflación,1540,4,Activo,true,true,
1544,Flota y equipo fluvial y/o marítimo,15,3,Activo,false,true,
154405,Buques,1544,4,Activo,true,true,
154410,Lanchas,1544,4,Activo,true,true,
154415,Remolcadoras,1544,4,Activo,true,true,
154420,Botes,1544,4,Activo,true,true,
154425,Boyas,1544,4,Activo,true,true,
154430,Amarres,1544,4,Activo,true,true,
154435,Contenedores y chasises,1544,4,Activo,true,true,
154440,Gabarras,1544,4,Activo,true,true,
154495,Otros,1544,4,Activo,true,true,
154499,Ajustes por inflación,1544,4,Activo,true,true,
1548,Flota y equipo aéreo,15,3,Activo,false,true,
154805,Aviones,1548,4,Activo,true,true,
154810,Avionetas,1548,4,Activo,true,true,
154815,Helicópteros,1548,4,Activo,true,true,
154820,Turbinas y motores,1548,4,Activo,true,true,
154825,Manuales de entrenamiento personal técnico,1548,4,Activo,true,true,
154830,Equipos de vuelo,1548,4,Activo,true,true,
154895,Otros,1548,4,Activo,true,true,
154899,Ajustes por inflación,1548,4,Activo,true,true,
1552,Flota y equipo férreo,15,3,Activo,false,true,
155205,Locomotoras,1552,4,Activo,true,true,
155210,Vagones,1552,4,Activo,true,true,
155215,Redes férreas,1552,4,Activo,true,true,
155295,Otros,1552,4,Activo,true,true,
155299,Ajustes por inflación,1552,4,Activo,true,true,
1556,"Acueductos, plantas y redes",15,3,Activo,false,true,
155605,Instalaciones para agua y energía,1556,4,Activo,true,true,
155610,"Acueducto, acequias y canalizaciones",1556,4,Activo,true,true,
155615,Plantas de generación hidráulica,1556,4,Activo,true,true,
155620,Plantas de generación térmica,1556,4,Activo,true,true,
155625,Plantas de generación a gas,1556,4,Activo,true,true,
155628,"Plantas de generación diesel, gasolina y petróleo",1556,4,Activo,true,true,
155630,Plantas de distribución,1556,4,Activo,true,true,
155635,Plantas de transmisión y subestaciones,1556,4,Activo,true,true,
155640,Oleoductos,1556,4,Activo,true,true,
155645,Gasoductos,1556,4,Activo,true,true,
155647,Poliductos,1556,4,Activo,true,true,
155650,Redes de distribución,1556,4,Activo,true,true,
155655,Plantas de tratamiento,1556,4,Activo,true,true,
155660,Redes de recolección de aguas negras,1556,4,Activo,true,true,
155665,Instalaciones y equipo de bombeo,1556,4,Activo,true,true,
155670,Redes de distribución de vapor,1556,4,Activo,true,true,
155675,Redes de aire,1556,4,Activo,true,true,
155680,Redes alimentación de gas,1556,4,Activo,true,true,
155682,Redes externas de telefonía,1556,4,Activo,true,true,
155685,Plantas deshidratadoras,1556,4,Activo,true,true,
155695,Otros,1556,4,Activo,true,true,
155699,Ajustes por inflación,1556,4,Activo,true,true,
1560,Armamento de vigilancia,15,3,Activo,false,true,
156099,Ajustes por inflación,1560,4,Activo,true,true,
1562,Envases y empaques,15,3,Activo,false,true,
156299,Ajustes por inflación,1562,4,Activo,true,true,
1564,Plantaciones agrícolas y forestales,15,3,Activo,false,true,
156405,Cultivos en desarrollo,1564,4,Activo,true,true,
156410,Cultivos amortizables,1564,4,Activo,true,true,
156499,Ajustes por inflación,1564,4,Activo,true,true,
1568,Vías de comunicación,15,3,Activo,false,true,
156805,Pavimentación y patios,1568,4,Activo,true,true,
156810,Vías,1568,4,Activo,true,true,
156815,Puentes,1568,4,Activo,true,true,
156820,Calles,1568,4,Activo,true,true,
156825,Aeródromos,1568,4,Activo,true,true,
156895,Otros,1568,4,Activo,true,true,
156899,Ajustes por inflación,1568,4,Activo,true,true,
1572,Minas y canteras,15,3,Activo,false,true,
157205,Minas,1572,4,Activo,true,true,
157210,Canteras,1572,4,Activo,true,true,
157299,Ajustes por inflación,1572,4,Activo,true,true,
1576,Pozos artesianos,15,3,Activo,false,true,
157699,Ajustes por inflación,1576,4,Activo,true,true,
1580,Yacimientos,15,3,Activo,false,true,
158099,Ajustes por inflación,1580,4,Activo,true,true,
1584,Semovientes,15,3,Activo,false,true,
158499,Ajustes por inflación,1584,4,Activo,true,true,
1588,"Propiedades, planta y equipo en tránsito",15,3,Activo,false,true,
158805,Maquinaria y equipo,1588,4,Activo,true,true,
158810,Equipo de oficina,1588,4,Activo,true,true,
158815,Equipo de computación y comunicación,1588,4,Activo,true,true,
158820,Equipo médico-científico,1588,4,Activo,true,true,
158825,Equipo de hoteles y restaurantes,1588,4,Activo,true,true,
158830,Flota y equipo de transporte,1588,4,Activo,true,true,
158835,Flota y equipo fluvial y/o marítimo,1588,4,Activo,true,true,
158840,Flota y equipo aéreo,1588,4,Activo,true,true,
158845,Flota y equipo férreo,1588,4,Activo,true,true,
158850,Plantas y redes,1588,4,Activo,true,true,
158855,Armamento de vigilancia,1588,4,Activo,true,true,
158860,Semovientes,1588,4,Activo,true,true,
158865,Envases y empaques,1588,4,Activo,true,true,
158899,Ajustes por inflación,1588,4,Activo,true,true,
1592,Depreciación acumulada,15,3,Activo,false,true,
159205,Construcciones y edificaciones,1592,4,Activo,true,true,
159210,Maquinaria y equipo,1592,4,Activo,true,true,
159215,Equipo de oficina,1592,4,Activo,true,true,
159220,Equipo de computación y comunicación,1592,4,Activo,true,true,
159225,Equipo médico-científico,1592,4,Activo,true,true,
159230,Equipo de hoteles y restaurantes,1592,4,Activo,true,true,
159235,Flota y equipo de transporte,1592,4,Activo,true,true,
159240,Flota y equipo fluvial y/o marítimo,1592,4,Activo,true,true,
159245,Flota y equipo aéreo,1592,4,Activo,true,true,
159250,Flota y equipo férreo,1592,4,Activo,true,true,
159255,"Acueductos, plantas y redes",1592,4,Activo,true,true,
159260,Armamento de vigilancia,1592,4,Activo,true,true,
159265,Envases y empaques,1592,4,Activo,true,true,
159299,Ajustes por inflación,1592,4,Activo,true,true,
1596,Depreciación diferida,15,3,Activo,false,true,
159605,Exceso fiscal sobre la contable,1596,4,Activo,true,true,
159610,Defecto fiscal sobre la contable (CR),1596,4,Activo,true,true,
159699,Ajustes por inflación,1596,4,Activo,true,true,
1597,Amortización acumulada,15,3,Activo,false,true,
159705,Plantaciones agrícolas y forestales,1597,4,Activo,true,true,
159710,Vías de comunicación,1597,4,Activo,true,true,
159715,Semovientes,1597,4,Activo,true,true,
159799,Ajustes por inflación,1597,4,Activo,true,true,
1598,Agotamiento acumulado,15,3,Activo,false,true,
159805,Minas y canteras,1598,4,Activo,true,true,
159815,Pozos artesianos,1598,4,Activo,true,true,
159820,Yacimientos,1598,4,Activo,true,true,
159899,Ajustes por inflación,1598,4,Activo,true,true,
